0.057658 2:6 7:4 11:0 14:2 
0.005300 3:5 6:6 10:0 13:1 
0.002554 0:3 6:1 10:3 15:4 
0.007018 0:3 6:1 10:1 15:7 
0.009967 0:3 6:1 10:4 12:5 
0.018615 0:3 6:1 10:0 13:6 
0.003987 0:3 6:1 10:0 13:1 
0.004535 0:3 6:1 10:1 15:4 
0.005465 0:3 6:1 10:4 12:1 
0.003106 0:3 6:1 10:0 12:1 
0.001688 0:3 6:1 10:0 15:3 
0.003649 0:3 6:1 10:2 12:2 
0.004954 0:3 6:1 10:3 15:3 
0.005688 0:3 6:1 10:3 13:3 
0.008441 0:3 6:1 10:1 13:5 
0.000844 0:3 6:1 10:0 12:6 
0.006862 0:3 6:1 10:1 13:3 
0.002419 0:3 6:1 10:0 15:1 
0.004110 0:3 6:1 10:2 12:5 
0.008644 0:3 6:1 10:2 15:5 
0.003878 0:3 6:1 10:2 12:3 
0.005056 0:3 6:1 10:2 15:1 
0.001788 0:3 6:1 10:5 12:2 
0.004657 0:3 6:1 10:2 15:2 
0.003945 0:3 6:1 10:3 12:5 
0.000482 0:3 6:1 10:0 15:6 
0.004036 0:3 6:1 10:2 12:6 
0.005775 0:3 6:1 10:0 13:2 
0.001377 0:3 6:1 10:2 13:4 
0.006020 0:3 6:1 10:4 13:1 
0.005720 0:3 6:1 10:1 13:4 
0.001652 0:3 6:1 10:0 15:2 
0.007157 0:3 6:1 10:4 12:2 
0.016626 0:3 6:1 10:0 13:5 
0.003331 0:3 6:1 10:4 15:2 
0.008897 0:3 6:1 10:1 12:3 
0.005171 0:3 6:1 10:3 12:4 
0.004848 0:3 6:1 10:4 15:1 
0.001069 0:3 6:1 10:0 15:5 
0.004687 0:3 6:1 10:2 13:3 
0.005395 0:3 6:1 10:1 15:2 
0.003155 0:3 6:1 10:3 12:1 
0.011119 0:3 6:1 10:4 12:3 
0.001491 0:3 6:1 10:0 12:5 
0.004424 0:3 6:1 10:2 13:1 
0.004833 0:3 6:1 10:1 12:6 
0.004611 0:3 6:1 10:1 12:4 
0.006458 0:3 6:1 10:1 13:2 
0.008273 0:3 6:1 10:1 12:1 
0.002495 0:3 6:1 10:0 12:2 
0.004467 0:3 6:1 10:1 15:1 
0.001710 0:3 6:1 10:0 15:4 
0.005646 0:3 6:1 10:0 13:3 
0.002009 0:3 6:1 10:0 12:3 
0.000646 0:3 6:1 10:0 12:7 
0.003236 0:3 6:1 10:3 13:2 
0.006712 0:3 6:1 10:2 15:4 
0.003322 0:3 6:1 10:3 13:1 
0.003709 0:3 6:1 10:3 15:1 
0.004820 0:3 6:1 10:2 15:3 
0.004030 0:3 6:1 10:2 12:1 
0.004984 0:3 6:1 10:1 13:1 
0.004304 0:3 6:1 10:3 15:2 
0.006431 0:3 6:1 10:1 12:2 
0.007909 0:3 6:1 10:4 13:2 
0.003509 0:3 6:1 10:3 12:3 
0.003984 0:3 6:1 10:5 13:1 
0.002733 0:3 6:1 10:0 12:4 
0.003604 0:3 6:1 10:0 13:4 
0.001307 0:3 6:1 10:6 12:2 
0.004674 0:3 6:1 10:1 12:5 
0.003380 0:3 6:1 10:3 12:2 
0.004646 0:3 6:1 10:1 15:3 
0.004361 0:3 6:1 10:2 13:2 
0.004963 0:3 6:1 10:1 15:6 
0.002888 0:3 6:1 10:1 15:5 
0.004023 0:3 6:1 10:2 12:4 
0.001420 0:3 6:1 10:1 12:7 
0.002241 0:3 6:1 10:5 12:1 
0.000752 0:3 6:1 10:0 15:7 
0.003979 3:7 4:1 8:2 15:3 
